event_id,timestamp_utc,source,event_type,severity,confidence,user,host_or_asset,src_ip,dest_ip,dest_domain,action,outcome,message,entity,is_external_src_ip
EVT-00016,2026-01-19T17:03:21Z,EDR,LateralMovement.Suspected,Informational,0.66,l.garcia,SRV-148,203.0.113.202,,,Endpoint,Observed,Security-relevant event observed.,user,1
EVT-00017,2026-01-19T17:11:22Z,DNS,Query,Informational,0.54,i.clark,WS-039,192.168.155.22,,microsoft.com,Query,Resolved,DNS query observed.,user,0
EVT-00018,2026-01-19T17:16:25Z,EmailGateway,URL.Rewrite,Informational,0.31,f.robinson,API-170,192.0.2.231,,corp.local,Inbound,Delivered,Security-relevant event observed.,user,1
EVT-00019,2026-01-19T17:17:33Z,Okta,Login.Success,Informational,0.63,p.singh,O365,192.168.215.94,,,Auth,Success,User authenticated successfully.,user,0
EVT-00020,2026-01-19T17:21:55Z,Okta,Login.Success,Low,0.61,c.taylor,CorpNet,203.0.113.242,,,Auth,Success,User authenticated successfully.,user,1
EVT-00021,2026-01-19T17:22:20Z,DNS,HighEntropy.Subdomain,Low,0.81,s.nguyen,WS-167,198.51.100.249,10.85.208.125,intranet.corp.local,Query,Resolved,Security-relevant event observed.,user,1
EVT-00022,2026-01-19T17:25:02Z,VPN,SplitTunnel.Enabled,Informational,0.69,n.davis,MAIL-182,172.19.207.6,,,Auth,Success,Security-relevant event observed.,user,0
EVT-00023,2026-01-19T17:26:12Z,DNS,NXDOMAIN,Low,0.69,b.harris,DB-083,172.25.156.115,,slack.com,Query,Resolved,Security-relevant event observed.,user,0
EVT-00024,2026-01-19T17:28:14Z,Proxy,URL.Allowed,Informational,0.89,j.smith,SRV-071,192.168.166.98,192.0.2.136,zoom.us,GET,Allowed,Web request allowed.,user,0
EVT-00025,2026-01-19T17:34:39Z,Proxy,Upload,Low,0.73,k.brown,DC-146,172.26.14.127,203.0.113.47,slack.com,POST,Allowed,Upload via web proxy.,user,0
EVT-00026,2026-01-19T17:35:53Z,CloudTrail,S3.GetObject,Medium,0.6,p.singh,AWS,172.25.80.183,,,Cloud,Success,Security-relevant event observed.,user,0
EVT-00027,2026-01-19T17:36:08Z,VPN,VPN.NewDevice,Informational,0.45,c.taylor,LAP-128,198.51.100.27,,,Auth,Success,Security-relevant event observed.,user,1
EVT-00028,2026-01-19T17:43:51Z,Proxy,Download,Low,0.6,e.wilson,API-040,172.18.46.213,198.51.100.24,slack.com,POST,Allowed,File downloaded via web proxy.,user,0
EVT-00029,2026-01-19T17:50:12Z,AzureAD,Token.Anomaly,Medium,0.58,f.robinson,AWS,10.205.224.60,,,Auth,Success,Security-relevant event observed.,user,0
EVT-00030,2026-01-19T17:50:17Z,AzureAD,ImpossibleTravel,Low,0.69,f.robinson,Azure,10.60.144.30,,,Auth,Success,Security-relevant event observed.,user,0
EVT-00031,2026-01-19T17:51:18Z,O365,File.ShareExternal,Low,0.4,svc-ci,AWS,192.0.2.201,192.168.219.170,office.com,Access,Success,Security-relevant event observed.,service_account,1
EVT-00032,2026-01-19T17:51:38Z,EDR,Malware.Detected,Informational,0.67,p.singh,API-155,10.235.63.250,,,Endpoint,Detected,Malware detection on endpoint.,user,0
EVT-00033,2026-01-19T17:52:03Z,VPN,SplitTunnel.Enabled,Informational,0.79,d.miller,DC-123,10.26.129.241,,,Auth,Success,Security-relevant event observed.,user,0
EVT-00034,2026-01-19T17:53:09Z,AzureAD,Signin.Failed,High,0.62,r.kim,CorpNet,10.179.188.30,,,Auth,Failure,Cloud sign-in failed.,user,0
EVT-00035,2026-01-19T18:04:28Z,Proxy,Upload,Informational,0.19,g.thomas,API-153,172.19.178.91,203.0.113.159,office.com,POST,Allowed,Upload via web proxy.,user,0
EVT-00036,2026-01-19T18:06:41Z,Okta,Password.Reset,High,0.05,m.patel,O365,192.168.89.31,10.5.83.128,,Auth,Success,Security-relevant event observed.,user,0
EVT-00037,2026-01-19T18:13:05Z,EDR,USB.Mount,Low,0.33,f.robinson,DC-017,172.16.123.184,172.16.180.62,,Endpoint,Observed,Security-relevant event observed.,user,0
EVT-00038,2026-01-19T18:15:00Z,AzureAD,Signin.Failed,Medium,0.78,n.davis,Azure,203.0.113.77,,,Auth,Failure,Multiple failed sign-in attempts from single IP; user agent indicates legacy authentication.,user,1
EVT-00039,2026-01-19T18:17:00Z,AzureAD,Signin.Failed,Medium,0.78,s.nguyen,Azure,203.0.113.77,,,Auth,Failure,Multiple failed sign-in attempts from single IP; user agent indicates legacy authentication.,user,1
EVT-00040,2026-01-19T18:19:00Z,AzureAD,Signin.Failed,Medium,0.78,e.wilson,Azure,203.0.113.77,,,Auth,Failure,Multiple failed sign-in attempts from single IP; user agent indicates legacy authentication.,user,1
EVT-00041,2026-01-19T18:19:12Z,EDR,LateralMovement.Suspected,High,0.44,m.patel,API-054,192.168.52.91,,,Endpoint,Observed,Security-relevant event observed.,user,0
EVT-00042,2026-01-19T18:20:40Z,EDR,LateralMovement.Suspected,Low,0.48,s.nguyen,WS-119,192.168.221.211,,,Endpoint,Observed,Security-relevant event observed.,user,0
EVT-00043,2026-01-19T18:21:00Z,AzureAD,Signin.Failed,Medium,0.78,l.garcia,Azure,203.0.113.77,,,Auth,Failure,Multiple failed sign-in attempts from single IP; user agent indicates legacy authentication.,user,1
EVT-00044,2026-01-19T18:23:00Z,AzureAD,Signin.Failed,Medium,0.78,g.thomas,Azure,203.0.113.77,,,Auth,Failure,Multiple failed sign-in attempts from single IP; user agent indicates legacy authentication.,user,1
EVT-00045,2026-01-19T18:25:00Z,AzureAD,Signin.Failed,Medium,0.78,m.patel,Azure,203.0.113.77,,,Auth,Failure,Multiple failed sign-in attempts from single IP; user agent indicates legacy authentication.,user,1
EVT-00046,2026-01-19T18:27:00Z,AzureAD,Signin.Failed,Medium,0.78,f.robinson,Azure,203.0.113.77,,,Auth,Failure,Multiple failed sign-in attempts from single IP; user agent indicates legacy authentication.,user,1
EVT-00047,2026-01-19T18:27:59Z,Proxy,Upload,Medium,0.26,c.taylor,MAIL-085,172.20.153.83,192.0.2.243,okta.com,GET,Allowed,Upload via web proxy.,user,0
EVT-00048,2026-01-19T18:28:13Z,VPN,VPN.Failed,Critical,0.56,m.patel,DB-098,172.26.172.195,,,Auth,Failure,VPN authentication failed.,user,0
EVT-00049,2026-01-19T18:29:00Z,AzureAD,Signin.Failed,Medium,0.78,o.martin,Azure,203.0.113.77,,,Auth,Failure,Multiple failed sign-in attempts from single IP; user agent indicates legacy authentication.,user,1
EVT-00050,2026-01-19T18:29:46Z,DNS,NXDOMAIN,Informational,0.28,r.kim,LAP-136,192.168.84.113,,zoom.us,Query,Resolved,Security-relevant event observed.,user,0
EVT-00051,2026-01-19T18:32:43Z,Proxy,TLS.SNI.Mismatch,Medium,0.78,j.smith,VDI-142,192.168.145.200,192.0.2.7,office.com,GET,Allowed,Security-relevant event observed.,user,0
EVT-00052,2026-01-19T18:33:00Z,AzureAD,Signin.Success,High,0.83,j.smith,Azure,203.0.113.77,,,Auth,Success,Successful sign-in after multiple failures; conditional access not triggered (legacy protocol).,user,1
EVT-00053,2026-01-19T18:35:30Z,O365,Mailbox.ForwardingSet,Low,0.76,m.patel,Azure,192.0.2.106,,sharepoint.com,Access,Success,Security-relevant event observed.,user,1
EVT-00054,2026-01-19T18:36:00Z,O365,Mailbox.ForwardingSet,High,0.86,j.smith,O365,203.0.113.77,,,Mailbox,Success,Mailbox forwarding rule created to external recipient 'auditbackup@proton.me'.,user,1
EVT-00055,2026-01-19T18:40:56Z,VPN,VPN.Connect,Low,0.41,k.brown,DC-090,203.0.113.14,,,Auth,Success,VPN session established.,user,1
EVT-00056,2026-01-19T18:42:40Z,AzureAD,Role.Assignment,Low,0.89,r.kim,O365,203.0.113.42,,,Auth,Success,Security-relevant event observed.,user,1
EVT-00057,2026-01-19T18:43:40Z,Firewall,C2.Connection,Medium,0.47,v.ali,AWS,192.168.250.24,192.0.2.115,,Network,Blocked,Security-relevant event observed.,user,0
EVT-00058,2026-01-19T18:54:44Z,EmailGateway,Attachment.Blocked,Informational,0.31,f.robinson,DC-009,10.187.185.99,,outlook.com,Inbound,Quarantined,Security-relevant event observed.,user,0
EVT-00059,2026-01-19T18:57:39Z,Okta,Login.Success,Informational,0.7,d.miller,AWS,10.37.175.44,,,Auth,Success,User authenticated successfully.,user,0
EVT-00060,2026-01-19T19:00:21Z,Proxy,Category.Block,Low,0.21,n.davis,VDI-139,192.0.2.52,192.0.2.80,slack.com,GET,Allowed,Security-relevant event observed.,user,1
EVT-00061,2026-01-19T19:05:20Z,AzureAD,ImpossibleTravel,Low,0.58,g.thomas,O365,10.158.115.207,10.23.125.252,,Auth,Success,Security-relevant event observed.,user,0
EVT-00062,2026-01-19T19:09:09Z,Okta,Password.Reset,High,0.54,c.taylor,O365,192.168.135.157,,,Auth,Success,Security-relevant event observed.,user,0
EVT-00063,2026-01-19T19:10:09Z,CloudTrail,CloudWatch.AlarmDisabled,Informational,0.61,k.brown,AWS,198.51.100.61,,,Cloud,Success,Security-relevant event observed.,user,1
EVT-00064,2026-01-19T19:10:32Z,Okta,MFA.Challenge,Informational,0.43,b.harris,CorpNet,198.51.100.205,,,Auth,Success,MFA challenge initiated.,user,1
EVT-00065,2026-01-19T19:17:31Z,VPN,SplitTunnel.Enabled,Informational,0.36,t.jones,DC-012,192.168.121.249,,,Auth,Success,Security-relevant event observed.,user,0
EVT-00066,2026-01-19T19:21:49Z,EmailGateway,User.ReportedPhish,Low,0.64,c.taylor,VDI-002,10.228.136.245,,vendor.example,Inbound,Delivered,Security-relevant event observed.,user,0
EVT-00067,2026-01-19T19:24:35Z,AzureAD,Signin.Success,Informational,0.59,g.thomas,O365,192.168.10.100,,,Auth,Success,Cloud sign-in successful.,user,0
EVT-00068,2026-01-19T19:25:36Z,Proxy,Upload,Low,0.45,g.thomas,SRV-016,172.18.88.11,198.51.100.182,okta.com,GET,Allowed,Upload via web proxy.,user,0
EVT-00069,2026-01-19T19:25:44Z,Firewall,Connection.Denied,Low,0.55,m.patel,CorpNet,192.168.71.185,198.51.100.168,,Network,Blocked,Connection denied by firewall policy.,user,0
EVT-00070,2026-01-19T19:27:19Z,EmailGateway,User.ReportedPhish,Medium,0.3,j.smith,VDI-165,10.25.170.63,,outlook.com,Inbound,Delivered,Security-relevant event observed.,user,0
EVT-00071,2026-01-19T19:27:37Z,Proxy,TLS.SNI.Mismatch,Medium,0.2,n.davis,WS-134,192.0.2.176,192.0.2.241,microsoft.com,GET,Allowed,Security-relevant event observed.,user,1
EVT-00072,2026-01-19T19:28:23Z,EDR,LateralMovement.Suspected,Low,0.4,n.davis,SRV-106,172.31.31.181,10.166.244.135,,Endpoint,Observed,Security-relevant event observed.,user,0
EVT-00073,2026-01-19T19:29:12Z,Firewall,GeoIP.Block,Informational,0.33,e.wilson,O365,198.51.100.76,198.51.100.93,,Network,Blocked,Security-relevant event observed.,user,1
EVT-00074,2026-01-19T19:33:07Z,CloudTrail,CloudWatch.AlarmDisabled,Medium,0.7,g.thomas,CorpNet,172.29.227.126,192.168.15.204,,Cloud,Success,Security-relevant event observed.,user,0
EVT-00075,2026-01-19T19:34:17Z,Proxy,Upload,Medium,0.64,i.clark,VDI-128,192.168.172.66,203.0.113.248,okta.com,GET,Allowed,Upload via web proxy.,user,0
EVT-00076,2026-01-19T19:36:24Z,VPN,VPN.Disconnect,Low,0.56,svc-ci,LAP-150,10.11.33.51,,,Auth,Success,Security-relevant event observed.,service_account,0
EVT-00077,2026-01-19T19:37:15Z,Firewall,Connection.Denied,Critical,0.47,b.harris,AWS,172.16.57.238,203.0.113.225,,Network,Blocked,Connection denied by firewall policy.,user,0
EVT-00078,2026-01-19T19:38:46Z,Proxy,Category.Block,Informational,0.57,v.ali,SRV-081,198.51.100.200,198.51.100.125,github.com,GET,Allowed,Security-relevant event observed.,user,1
EVT-00079,2026-01-19T19:42:22Z,O365,File.ShareExternal,Informational,0.44,g.thomas,CorpNet,10.47.216.213,,onedrive.com,Access,Success,Security-relevant event observed.,user,0
EVT-00080,2026-01-19T19:46:16Z,AzureAD,Signin.Failed,Critical,0.57,c.taylor,Azure,192.0.2.1,,,Auth,Failure,Cloud sign-in failed.,user,1
EVT-00081,2026-01-19T19:50:53Z,EmailGateway,User.ReportedPhish,Low,0.44,it-admin,DC-195,172.17.81.17,,outlook.com,Inbound,Delivered,Security-relevant event observed.,privileged_user,0
EVT-00082,2026-01-19T19:52:49Z,Okta,Login.Failed,High,0.44,p.singh,AWS,203.0.113.73,192.168.154.157,,Auth,Failure,Authentication failed (bad credentials or policy).,user,1
EVT-00083,2026-01-19T19:59:20Z,EmailGateway,User.ReportedPhish,High,0.4,r.kim,DC-192,203.0.113.107,,vendor.example,Outbound,Delivered,Security-relevant event observed.,user,1
EVT-00084,2026-01-19T20:05:00Z,Okta,Login.Success,Low,0.6,m.patel,CorpNet,198.51.100.33,,,Auth,Success,"Login from Vancouver, CA; known device.",user,1
EVT-00085,2026-01-19T20:07:03Z,Okta,MFA.Failed,High,0.79,a.chen,AWS,10.216.67.123,172.18.52.27,,Auth,Failure,MFA denied or timed out.,user,0
EVT-00086,2026-01-19T20:10:02Z,EmailGateway,Outbound.Spam,Low,0.08,i.clark,WS-196,172.17.89.121,,proton.me,Inbound,Delivered,Security-relevant event observed.,user,0
EVT-00087,2026-01-19T20:10:03Z,EDR,Malware.Detected,Medium,0.37,c.taylor,LAP-132,192.168.248.55,,,Endpoint,Detected,Malware detection on endpoint.,user,0
EVT-00088,2026-01-19T20:14:16Z,VPN,VPN.NewDevice,Medium,0.51,e.wilson,DC-163,198.51.100.95,,,Auth,Success,Security-relevant event observed.,user,1
EVT-00089,2026-01-19T20:17:00Z,AzureAD,ImpossibleTravel,High,0.88,m.patel,Azure,203.0.113.120,,,Auth,Success,"Sign-in from Frankfurt, DE within 12 minutes of Vancouver sign-in; device fingerprint mismatch.",user,1
EVT-00090,2026-01-19T20:18:48Z,Firewall,DataTransfer.Large,Low,0.71,i.clark,O365,192.0.2.162,203.0.113.43,,Network,Blocked,Security-relevant event observed.,user,1
EVT-00091,2026-01-19T20:23:24Z,Proxy,TLS.SNI.Mismatch,Informational,0.93,m.patel,VDI-148,203.0.113.91,198.51.100.46,slack.com,POST,Allowed,Security-relevant event observed.,user,1
EVT-00092,2026-01-19T20:27:44Z,Firewall,GeoIP.Block,Medium,0.81,a.chen,Azure,192.168.4.244,203.0.113.1,,Network,Blocked,Security-relevant event observed.,user,0
EVT-00093,2026-01-19T20:28:55Z,AzureAD,Signin.Success,Medium,0.29,f.robinson,AWS,192.168.161.240,,,Auth,Success,Cloud sign-in successful.,user,0
EVT-00094,2026-01-19T20:31:10Z,EmailGateway,Attachment.Blocked,High,0.69,c.taylor,API-049,203.0.113.132,,corp.local,Inbound,Quarantined,Security-relevant event observed.,user,1
EVT-00095,2026-01-19T20:35:40Z,AzureAD,ImpossibleTravel,Informational,0.7,svc-deploy,O365,172.27.235.65,,,Auth,Success,Security-relevant event observed.,service_account,0
EVT-00096,2026-01-19T20:41:40Z,Proxy,TLS.SNI.Mismatch,Low,0.68,j.smith,LAP-100,192.168.166.220,203.0.113.134,intranet.corp.local,POST,Allowed,Security-relevant event observed.,user,0
EVT-00097,2026-01-19T20:48:52Z,O365,SharePoint.Access,Informational,0.72,p.singh,AWS,192.168.99.93,,,Access,Success,Security-relevant event observed.,user,0
EVT-00098,2026-01-19T20:48:57Z,CloudTrail,EC2.SecurityGroupChange,Informational,0.83,i.clark,Azure,192.168.115.166,172.20.36.16,,Cloud,Success,Security-relevant event observed.,user,0
EVT-00099,2026-01-19T20:52:00Z,EmailGateway,Outbound.Spam,Informational,0.49,svc-ci,LAP-035,203.0.113.236,172.20.67.64,proton.me,Outbound,Delivered,Security-relevant event observed.,service_account,1
EVT-00100,2026-01-19T20:55:00Z,AzureAD,Role.Assignment,Medium,0.61,sec-admin,CorpNet,192.168.137.83,,,Auth,Success,Security-relevant event observed.,privileged_user,0
EVT-00101,2026-01-19T20:57:12Z,DNS,TXT.Query,Informational,0.54,o.martin,DC-107,192.168.58.89,,cdn.okta.com,Query,Resolved,Security-relevant event observed.,user,0
EVT-00102,2026-01-19T20:58:32Z,CloudTrail,S3.PutObject,Low,0.51,o.martin,Azure,172.29.95.175,,,Cloud,Success,Security-relevant event observed.,user,0
EVT-00103,2026-01-19T20:58:39Z,DNS,TXT.Query,Informational,0.19,o.martin,VDI-117,172.22.69.222,172.26.136.211,okta.com,Query,Resolved,Security-relevant event observed.,user,0
EVT-00104,2026-01-19T21:03:49Z,EDR,Process.Suspicious,Low,0.62,b.harris,MAIL-104,198.51.100.118,,,Endpoint,Observed,Suspicious process behavior observed.,user,1
EVT-00105,2026-01-19T21:04:44Z,AzureAD,Signin.Failed,Medium,0.66,d.miller,O365,192.0.2.181,,,Auth,Failure,Cloud sign-in failed.,user,1
EVT-00106,2026-01-19T21:10:15Z,VPN,VPN.Disconnect,Low,0.42,l.garcia,DB-033,192.168.47.129,,,Auth,Success,Security-relevant event observed.,user,0
EVT-00107,2026-01-19T21:17:15Z,EDR,Exploit.Prevention,Low,0.55,j.smith,API-114,192.168.245.55,,,Endpoint,Observed,Security-relevant event observed.,user,0
EVT-00108,2026-01-19T21:18:46Z,DNS,Query,Informational,0.21,b.harris,VDI-147,192.168.194.44,172.24.252.38,office.com,Query,Resolved,DNS query observed.,user,0
EVT-00109,2026-01-19T21:19:02Z,EDR,Process.Suspicious,Low,0.41,b.harris,DB-044,192.0.2.191,,,Endpoint,Observed,Suspicious process behavior observed.,user,1
EVT-00110,2026-01-19T21:20:00Z,Proxy,URL.Allowed,Medium,0.66,r.kim,WS-118,192.168.247.237,,update-chrome-security.com,GET,Allowed,Newly-registered domain; category=Software/Updates; low reputation.,user,0
EVT-00111,2026-01-19T21:20:13Z,VPN,SplitTunnel.Enabled,Informational,0.82,p.singh,VDI-181,192.168.116.198,,,Auth,Success,Security-relevant event observed.,user,0
EVT-00112,2026-01-19T21:22:00Z,Proxy,Download,High,0.8,r.kim,WS-118,192.168.90.178,,update-chrome-security.com,GET,Allowed,Executable download 'ChromeUpdate.msi' from low-reputation host.,user,0
EVT-00113,2026-01-19T21:22:20Z,Proxy,Upload,Informational,0.49,t.jones,VDI-034,203.0.113.136,192.0.2.234,github.com,GET,Allowed,Upload via web proxy.,user,1
EVT-00114,2026-01-19T21:22:41Z,DNS,Query,Low,0.59,s.nguyen,SRV-090,172.22.247.90,,slack.com,Query,Resolved,DNS query observed.,user,0
EVT-00115,2026-01-19T21:22:52Z,Proxy,Upload,Informational,0.67,h.lee,MAIL-189,192.168.97.88,192.0.2.183,okta.com,POST,Allowed,Upload via web proxy.,user,0
EVT-00116,2026-01-19T21:23:20Z,Proxy,URL.Blocked,Low,0.55,s.nguyen,SRV-011,203.0.113.206,192.0.2.81,jira.corp.local,GET,Allowed,Web request blocked by policy.,user,1
EVT-00117,2026-01-19T21:26:00Z,O365,SharePoint.Access,Informational,0.78,j.smith,O365,192.0.2.84,,office.com,Access,Success,Security-relevant event observed.,user,1
EVT-00118,2026-01-19T21:35:59Z,AzureAD,Role.Assignment,Informational,0.54,d.miller,CorpNet,192.168.155.180,,,Auth,Success,Security-relevant event observed.,user,0
EVT-00119,2026-01-19T21:36:42Z,Okta,MFA.Challenge,Low,0.97,s.nguyen,Azure,172.30.208.27,172.18.166.222,,Auth,Success,MFA challenge initiated.,user,0
EVT-00120,2026-01-19T21:43:10Z,Firewall,GeoIP.Block,Informational,0.45,r.kim,O365,10.4.234.160,192.0.2.26,,Network,Blocked,Security-relevant event observed.,user,0
EVT-00121,2026-01-19T21:48:33Z,Firewall,PortScan.Detected,Low,0.37,e.wilson,CorpNet,10.25.148.243,203.0.113.222,,Network,Blocked,Potential port scanning activity detected.,user,0
EVT-00122,2026-01-19T21:57:29Z,AzureAD,AppConsent.Granted,High,0.43,j.smith,CorpNet,192.168.183.218,192.168.203.56,,Auth,Success,Security-relevant event observed.,user,0
EVT-00123,2026-01-19T22:01:42Z,EmailGateway,Phish.Detected,Low,0.59,e.wilson,SRV-149,203.0.113.10,172.27.160.112,vendor.example,Inbound,Quarantined,Phishing email detected by gateway.,user,1
EVT-00124,2026-01-19T22:02:20Z,DNS,NXDOMAIN,High,0.41,j.smith,API-014,10.38.174.155,,slack.com,Query,Resolved,Security-relevant event observed.,user,0
EVT-00125,2026-01-19T22:03:41Z,Proxy,URL.Blocked,Informational,0.3,l.garcia,VDI-190,172.23.104.102,198.51.100.142,office.com,GET,Allowed,Web request blocked by policy.,user,0
EVT-00126,2026-01-19T22:07:36Z,Proxy,URL.Allowed,High,0.6,t.jones,MAIL-164,192.0.2.82,198.51.100.182,slack.com,GET,Allowed,Web request allowed.,user,1
EVT-00127,2026-01-19T22:11:44Z,Proxy,Category.Block,Low,0.46,e.wilson,WS-133,198.51.100.62,192.0.2.105,microsoft.com,GET,Allowed,Security-relevant event observed.,user,1
EVT-00128,2026-01-19T22:16:07Z,Proxy,URL.Blocked,Low,0.93,h.lee,DB-043,10.152.148.117,192.0.2.134,slack.com,GET,Allowed,Web request blocked by policy.,user,0
EVT-00129,2026-01-19T22:16:11Z,EmailGateway,DMARC.Fail,Low,0.65,h.lee,API-179,10.153.192.48,,outlook.com,Inbound,Delivered,Security-relevant event observed.,user,0
EVT-00130,2026-01-19T22:18:48Z,EmailGateway,Attachment.Blocked,Informational,0.46,svc-backup,LAP-182,192.168.171.115,10.127.34.90,gmail.com,Inbound,Delivered,Security-relevant event observed.,service_account,0
EVT-00131,2026-01-19T22:22:01Z,Proxy,Download,Informational,0.51,j.smith,DB-008,10.109.113.166,198.51.100.174,zoom.us,GET,Allowed,File downloaded via web proxy.,user,0
EVT-00132,2026-01-19T22:31:41Z,AzureAD,AppConsent.Granted,High,0.73,it-admin,Azure,172.19.210.113,172.26.6.181,,Auth,Success,Security-relevant event observed.,privileged_user,0
EVT-00133,2026-01-19T22:39:20Z,O365,File.Download,Low,0.7,f.robinson,CorpNet,10.19.70.183,,,Access,Success,Security-relevant event observed.,user,0
EVT-00134,2026-01-19T22:39:31Z,EDR,USB.Mount,Low,0.29,a.chen,DB-138,172.24.195.211,,,Endpoint,Observed,Security-relevant event observed.,user,0
EVT-00135,2026-01-19T22:40:00Z,EmailGateway,User.ReportedPhish,Medium,0.72,s.nguyen,LAP-042,10.234.97.184,,secure-o365-auth.com,Inbound,Reported,User reported suspicious email prompting O365 re-authentication.,user,0
EVT-00136,2026-01-19T22:40:24Z,O365,Mailbox.ForwardingSet,Informational,0.33,h.lee,O365,192.0.2.13,,sharepoint.com,Access,Success,Security-relevant event observed.,user,1
EVT-00137,2026-01-19T22:41:58Z,DNS,TXT.Query,High,0.6,v.ali,MAIL-087,203.0.113.178,,jira.corp.local,Query,Resolved,Security-relevant event observed.,user,1
EVT-00138,2026-01-19T22:42:45Z,VPN,VPN.Connect,Low,0.37,svc-backup,LAP-158,172.30.21.116,,,Auth,Success,VPN session established.,service_account,0
EVT-00139,2026-01-19T22:45:14Z,O365,Admin.AuditLogCleared,Informational,0.55,svc-deploy,CorpNet,192.168.79.227,,,Access,Success,Security-relevant event observed.,service_account,0
EVT-00140,2026-01-19T22:46:20Z,DNS,Query,Low,0.64,i.clark,SRV-136,172.24.127.246,192.168.95.128,office.com,Query,Resolved,DNS query observed.,user,0
EVT-00141,2026-01-19T22:47:00Z,EDR,Process.Suspicious,High,0.84,s.nguyen,LAP-042,172.19.212.12,,,Endpoint,Observed,Suspicious PowerShell spawned from Office app; encoded command detected.,user,0
EVT-00142,2026-01-19T22:49:00Z,EDR,Malware.Detected,Critical,0.92,s.nguyen,LAP-042,192.168.63.198,,,Endpoint,Detected,Known infostealer signature matched; credential access behavior observed.,user,0
EVT-00143,2026-01-19T22:50:59Z,VPN,VPN.Disconnect,Critical,0.29,s.nguyen,VDI-136,203.0.113.126,,,Auth,Success,Security-relevant event observed.,user,1
EVT-00144,2026-01-19T22:52:00Z,DNS,HighEntropy.Subdomain,High,0.87,s.nguyen,LAP-042,172.30.68.247,,x9q2k1.l33t-dns.org,Query,Resolved,High-entropy subdomain queries consistent with DNS tunneling.,user,0
EVT-00145,2026-01-19T22:54:15Z,DNS,TXT.Query,Critical,0.67,m.patel,WS-180,172.29.169.145,,microsoft.com,Query,Resolved,Security-relevant event observed.,user,0
EVT-00146,2026-01-19T22:55:28Z,Okta,MFA.Failed,High,0.68,d.miller,CorpNet,192.168.30.157,,,Auth,Failure,MFA denied or timed out.,user,0
EVT-00147,2026-01-19T22:58:00Z,Firewall,DataTransfer.Large,High,0.81,s.nguyen,CorpNet,10.24.221.215,198.51.100.201,,Network,Allowed,Unusual outbound transfer volume from endpoint to rare external IP.,user,0
EVT-00148,2026-01-19T22:58:02Z,O365,File.Download,Informational,0.57,p.singh,Azure,203.0.113.72,,onedrive.com,Access,Success,Security-relevant event observed.,user,1
